"","Place","Name","Grade","School","Prelims_Time","Finals_Time","Points","Exhibition","DQ","Event","State","Division"
"1",1,NA,NA,"Dublin Coffman","1:43.55","1:41.88",NA,0,0,"Girls 200 Yard Medley Relay","OH"," Division 1"
"2",2,NA,NA,"Mason","1:44.17","1:42.21",NA,0,0,"Girls 200 Yard Medley Relay","OH"," Division 1"
"3",3,NA,NA,"New Albany","1:43.07","1:42.31",NA,0,0,"Girls 200 Yard Medley Relay","OH"," Division 1"
"4",4,NA,NA,"Upper Arlington","1:43.00","1:43.16",NA,0,0,"Girls 200 Yard Medley Relay","OH"," Division 1"
"5",5,NA,NA,"Akron Firestone","1:44.83","1:44.59",NA,0,0,"Girls 200 Yard Medley Relay","OH"," Division 1"
"6",6,NA,NA,"Springboro","1:45.04","1:45.21",NA,0,0,"Girls 200 Yard Medley Relay","OH"," Division 1"
"7",7,NA,NA,"Hudson","1:45.72","1:45.65",NA,0,0,"Girls 200 Yard Medley Relay","OH"," Division 1"
"8",8,NA,NA,"Centerville","1:45.54","1:46.16",NA,0,0,"Girls 200 Yard Medley Relay","OH"," Division 1"
"9",9,NA,NA,"Columbus Bishop Watterson","1:46.20","1:45.49",NA,0,0,"Girls 200 Yard Medley Relay","OH"," Division 1"
"10",10,NA,NA,"Cincinnati Ursuline","1:46.48","1:45.55",NA,0,0,"Girls 200 Yard Medley Relay","OH"," Division 1"
"11",11,NA,NA,"North Canton Hoover","1:46.55","1:46.58",NA,0,0,"Girls 200 Yard Medley Relay","OH"," Division 1"
"12",12,NA,NA,"Brecksville","1:47.33","1:46.67",NA,0,0,"Girls 200 Yard Medley Relay","OH"," Division 1"
"13",13,NA,NA,"Toledo St Ursula Academy","1:47.15","1:47.03",NA,0,0,"Girls 200 Yard Medley Relay","OH"," Division 1"
"14",14,NA,NA,"Cincinnati Turpin","1:47.89","1:47.16",NA,0,0,"Girls 200 Yard Medley Relay","OH"," Division 1"
"15",15,NA,NA,"Gahanna Lincoln","1:47.92","1:47.38",NA,0,0,"Girls 200 Yard Medley Relay","OH"," Division 1"
"16",16,NA,NA,"Fremont Ross","1:48.22","1:47.49",NA,0,0,"Girls 200 Yard Medley Relay","OH"," Division 1"
"17",1,NA,NA,"Cincinnati St Xavier","1:28.20","1:27.97",NA,0,0,"Boys 200 Yard Medley Relay","OH"," Division 1"
"18",2,NA,NA,"Cleveland St. Ignatius","1:33.05","1:31.45",NA,0,0,"Boys 200 Yard Medley Relay","OH"," Division 1"
"19",3,NA,NA,"Mason","1:32.05","1:31.53",NA,0,0,"Boys 200 Yard Medley Relay","OH"," Division 1"
"20",4,NA,NA,"Powell Olentangy Liberty","1:33.65","1:32.97",NA,0,0,"Boys 200 Yard Medley Relay","OH"," Division 1"
"21",5,NA,NA,"Upper Arlington","1:33.58","1:33.19",NA,0,0,"Boys 200 Yard Medley Relay","OH"," Division 1"
"22",6,NA,NA,"Kings Mills Kings","1:33.94","1:33.92",NA,0,0,"Boys 200 Yard Medley Relay","OH"," Division 1"
"23",7,NA,NA,"Columbus St Charles","1:34.15","1:33.99",NA,0,0,"Boys 200 Yard Medley Relay","OH"," Division 1"
"24",8,NA,NA,"Beavercreek","1:34.70","1:34.30",NA,0,0,"Boys 200 Yard Medley Relay","OH"," Division 1"
"25",9,NA,NA,"Dublin Coffman","1:34.96","1:34.19",NA,0,0,"Boys 200 Yard Medley Relay","OH"," Division 1"
"26",10,NA,NA,"Cincinnati Sycamore","1:34.77","1:34.27",NA,0,0,"Boys 200 Yard Medley Relay","OH"," Division 1"
"27",11,NA,NA,"New Albany","1:35.04","1:35.12",NA,0,0,"Boys 200 Yard Medley Relay","OH"," Division 1"
"28",12,NA,NA,"Youngstown Boardman","1:36.12","1:36.05",NA,0,0,"Boys 200 Yard Medley Relay","OH"," Division 1"
"29",13,NA,NA,"Hilliard Darby","1:36.91","1:36.10",NA,0,0,"Boys 200 Yard Medley Relay","OH"," Division 1"
"30",14,NA,NA,"Worthington Thomas Worthington","1:36.92","1:36.46",NA,0,0,"Boys 200 Yard Medley Relay","OH"," Division 1"
"31",15,NA,NA,"Brecksville","1:36.45","1:36.88",NA,0,0,"Boys 200 Yard Medley Relay","OH"," Division 1"
"32",16,NA,NA,"Centerville","1:36.87","1:36.94",NA,0,0,"Boys 200 Yard Medley Relay","OH"," Division 1"
"33",1,"Grace Hastings","SR","Cincinnati Anderson","1:48.89","1:46.99",NA,0,0,"Girls 200 Yard Freestyle","OH"," Division 1"
"34",2,"Kristyn Sabol","SR","Dublin Coffman","1:49.65","1:47.77",NA,0,0,"Girls 200 Yard Freestyle","OH"," Division 1"
"35",3,"Paige McCormick","SR","Hudson","1:50.30","1:50.14",NA,0,0,"Girls 200 Yard Freestyle","OH"," Division 1"
"36",4,"Abby Woolford","FR","Beavercreek","1:51.16","1:50.15",NA,0,0,"Girls 200 Yard Freestyle","OH"," Division 1"
"37",5,"Phoebe Wright","SO","Cincinnati Walnut Hills","1:51.24","1:50.74",NA,0,0,"Girls 200 Yard Freestyle","OH"," Division 1"
"38",6,"Maya Geringer","SR","Dublin Jerome","1:51.22","1:51.15",NA,0,0,"Girls 200 Yard Freestyle","OH"," Division 1"
"39",7,"Madeline Hart","SR","Cincinnati Turpin","1:51.09","1:51.78",NA,0,0,"Girls 200 Yard Freestyle","OH"," Division 1"
"40",8,"Clara Keiser","SR","Cincinnati St Ursula","1:51.95","1:51.97",NA,0,0,"Girls 200 Yard Freestyle","OH"," Division 1"
"41",9,"Leah Luckett","SR","Kings Mills Kings","1:52.24","1:50.58",NA,0,0,"Girls 200 Yard Freestyle","OH"," Division 1"
"42",10,"Erin Reardon","SR","Upper Arlington","1:52.16","1:52.10",NA,0,0,"Girls 200 Yard Freestyle","OH"," Division 1"
"43",11,"Libby Grether","FR","Dublin Jerome","1:52.42","1:53.04",NA,0,0,"Girls 200 Yard Freestyle","OH"," Division 1"
"44",12,"Lauren Clippard","FR","Cincinnati Colerain","1:53.38","1:53.09",NA,0,0,"Girls 200 Yard Freestyle","OH"," Division 1"
"45",13,"Mia Nagle","SO","Akron Firestone","1:53.42","1:53.22",NA,0,0,"Girls 200 Yard Freestyle","OH"," Division 1"
"46",14,"Molly Pressler","JR","Cincinnati Seton","1:53.34","1:53.24",NA,0,0,"Girls 200 Yard Freestyle","OH"," Division 1"
"47",15,"Mia Lachey","SR","New Albany","1:52.13","1:53.35",NA,0,0,"Girls 200 Yard Freestyle","OH"," Division 1"
"48",16,"Ava Sutphin","FR","Cincinnati Turpin","1:54.59","1:54.38",NA,0,0,"Girls 200 Yard Freestyle","OH"," Division 1"
"49",1,"Jacob McDonald","SR","Liberty Twp Lakota East","1:38.02","1:37.62",NA,0,0,"Boys 200 Yard Freestyle","OH"," Division 1"
"50",2,"Brandon Day","SR","Loveland","1:39.73","1:38.78",NA,0,0,"Boys 200 Yard Freestyle","OH"," Division 1"
"51",3,"Hayden Jay","JR","Upper Arlington","1:38.93","1:39.33",NA,0,0,"Boys 200 Yard Freestyle","OH"," Division 1"
"52",4,"Thomas Matthew","SR","Wooster","1:40.34","1:39.38",NA,0,0,"Boys 200 Yard Freestyle","OH"," Division 1"
"53",5,"Dillon Edge","SO","Beavercreek","1:39.73","1:40.45",NA,0,0,"Boys 200 Yard Freestyle","OH"," Division 1"
"54",6,"Ethan Shaw","SR","Dublin Coffman","1:40.23","1:40.76",NA,0,0,"Boys 200 Yard Freestyle","OH"," Division 1"
"55",7,"Kellen Roddy","SR","Cincinnati St Xavier","1:41.06","1:41.42",NA,0,0,"Boys 200 Yard Freestyle","OH"," Division 1"
"56",8,"Carson Smith","SO","Dublin Jerome","1:41.17","1:41.61",NA,0,0,"Boys 200 Yard Freestyle","OH"," Division 1"
"57",9,"Brandon Stoia","SR","Parma Normandy","1:41.79","1:40.45",NA,0,0,"Boys 200 Yard Freestyle","OH"," Division 1"
"58",10,"Erik Menchhofer","JR","Cincinnati Sycamore","1:41.78","1:41.20",NA,0,0,"Boys 200 Yard Freestyle","OH"," Division 1"
"59",11,"RJ Myers","SR","Cincinnati St Xavier","1:41.34","1:41.45",NA,0,0,"Boys 200 Yard Freestyle","OH"," Division 1"
"60",12,"Caleb Tuckerman","SR","Hudson","1:41.67","1:41.79",NA,0,0,"Boys 200 Yard Freestyle","OH"," Division 1"
"61",13,"Alex Cimera","SO","Stow-Munroe Falls","1:41.68","1:42.06",NA,0,0,"Boys 200 Yard Freestyle","OH"," Division 1"
"62",14,"Isaac Grinberg","SR","Sylvania Southview","1:41.51","1:42.17",NA,0,0,"Boys 200 Yard Freestyle","OH"," Division 1"
"63",15,"Alex Craft","JR","Cincinnati Walnut Hills","1:42.63","1:42.99",NA,0,0,"Boys 200 Yard Freestyle","OH"," Division 1"
"64",16,"Will Wowk","SR","Cincinnati St Xavier","1:42.41","1:43.11",NA,0,0,"Boys 200 Yard Freestyle","OH"," Division 1"
"65",1,"Ellie Andrews","JR","Dublin Coffman","2:01.35","2:00.83",NA,0,0,"Girls 200 Yard IM","OH"," Division 1"
"66",2,"Martina Peroni","SO","Lewis Center Olentangy","2:01.73","2:01.63",NA,0,0,"Girls 200 Yard IM","OH"," Division 1"
"67",3,"Marie Belli","FR","Gahanna Lincoln","2:04.05","2:03.09",NA,0,0,"Girls 200 Yard IM","OH"," Division 1"
"68",4,"Reese Lugbill","JR","Mason","2:03.72","2:03.61",NA,0,0,"Girls 200 Yard IM","OH"," Division 1"
"69",5,"Giovanna Cappabianca","SR","Hudson","2:05.42","2:04.36",NA,0,0,"Girls 200 Yard IM","OH"," Division 1"
"70",6,"Madeline Dyer","SR","Akron Firestone","2:05.05","2:04.45",NA,0,0,"Girls 200 Yard IM","OH"," Division 1"
"71",7,"Sydney Boals","JR","New Albany","2:05.10","2:05.13",NA,0,0,"Girls 200 Yard IM","OH"," Division 1"
"72",8,"Hannah Cech","SR","Liberty Twp Lakota East","2:06.03","2:05.45",NA,0,0,"Girls 200 Yard IM","OH"," Division 1"
"73",9,"Paige Striley","SO","West Chester Lakota West","2:07.01","2:04.78",NA,0,0,"Girls 200 Yard IM","OH"," Division 1"
"74",10,"Katie Fisher","FR","Lebanon","2:07.56","2:06.41",NA,0,0,"Girls 200 Yard IM","OH"," Division 1"
"75",11,"Tara Witkowski","SR","Liberty Twp Lakota East","2:08.04","2:07.15",NA,0,0,"Girls 200 Yard IM","OH"," Division 1"
"76",12,"Lizzie Jantausch","SR","Liberty Twp Lakota East","2:07.64","2:07.48",NA,0,0,"Girls 200 Yard IM","OH"," Division 1"
