"Place","Name","Age","Club","Distance","USMS_ID","Gender","Year","National_Record"
1,"Jason Weis",24,"NEM",4550,"0202-0B9VP","M",2020,"N"
2,"Ryan Williamson",19,"1776",4095,"080H-J70XX","M",2020,"N"
1,"Ryan Waddington",29,"DAM",5240,"3805-HFD68","M",2020,"N"
2,"Austin Teunissen",25,"AQST",5125,"520H-KKRMH","M",2020,"N"
3,"Andrew Barmann",27,"CVMM",5070,"330S-NDTX9","M",2020,"N"
4,"Mitchell Victoria",26,"CRUZ",4870,"3800-0AJ9E","M",2020,"N"
5,"Cory Nguyen",25,"RIPT",4725,"330V-6AM61","M",2020,"N"
6,"Aaron Foreman",28,"O*H*",4700,"180M-0A8E9","M",2020,"N"
7,"William Gerard",28,"CONN",4675,"050Z-0A6F5","M",2020,"N"
8,"Andrew Voorhees",28,"NEM",4510,"020V-NM1RV","M",2020,"N"
9,"Michael Thomas",28,"MVM",4500,"380A-07X03","M",2020,"N"
10,"Grant Aldred",27,"OREG",4395,"370C-084PG","M",2020,"N"
11,"Matthew Bauer",27,"NEM",4340,"0208-0B5J8","M",2020,"N"
12,"Reed Truax",25,"NEM",4325,"020M-0AGG6","M",2020,"N"
13,"Eric Burtchell",29,"NEM",4210,"0204-097JG","M",2020,"N"
14,"Alexander Claman",25,"TAM",3725,"3803-09BZE","M",2020,"N"
15,"Richard Jimenez",28,"MOST",3370,"430Z-6XETD","M",2020,"N"
16,"James Ramseur",29,"FRNY",3150,"060U-H3DJK","M",2020,"N"
17,"Robert Malnight",29,"MICH",3125,"1902-0A264","M",2020,"N"
18,"Leonard Robinson",29,"NEM",2275,"0205-1TW1V","M",2020,"N"
1,"Eric Nilsson",33,"NEM",5765,"0208-05YT0","M",2020,"Y"
2,"Matthew Alford",32,"NEM",5025,"020U-0B93C","M",2020,"N"
3,"Michael Hoffman",33,"NEM",5020,"020A-9NC6S","M",2020,"N"
4,"Adam Walker",30,"UC12",4910,"120S-09AAA","M",2020,"N"
5,"Dave Rossi",32,"NCMS",4830,"1309-0ASV5","M",2020,"N"
6,"James Hoke",34,"MINN",4575,"300J-09X8Z","M",2020,"N"
7,"Mathew Card",33,"NEM",4180,"0209-07P9A","M",2020,"N"
8,"Brandon Merritt",33,"DAM",3900,"3800-07P8R","M",2020,"N"
9,"Paul Dungee",32,"1776",3800,"080B-P6DD1","M",2020,"N"
10,"Matthew Bermingham",32,"1776",3330,"080X-A8WY1","M",2020,"N"
1,"Jesse Ford",38,"CMAM",4540,"380T-074MJ","M",2020,"N"
2,"Peter Bowman",38,"CMYM",4500,"090H-0B422","M",2020,"N"
3,"Robert Duguay",35,"CONN",4495,"0505-01SNZ","M",2020,"N"
4,"Warren Perry",39,"TNYA",4420,"0606-077HK","M",2020,"N"
5,"Christopher Marler",35,"OREG",4225,"370E-CHTW0","M",2020,"N"
6,"Andrew Brown",39,"USN",4020,"1404-G8JKB","M",2020,"N"
7,"Michael Mancini",36,"NEM",4000,"020X-0607F","M",2020,"N"
8,"Alexander Sennhenn",35,"TAM",3525,"3809-0B4T5","M",2020,"N"
8,"Seann Mulcahy",38,"NEM",3525,"020S-0922H","M",2020,"N"
10,"Paul Philley",38,"DAM",3500,"380A-08FAV","M",2020,"N"
11,"Will McNiece",35,"NEM",3450,"020Y-0BAAB","M",2020,"N"
12,"Charlie Kimberly",35,"OREG",3400,"370K-0AUWA","M",2020,"N"
1,"John Kenny",40,"1776",5330,"080M-06XPT","M",2020,"N"
2,"Stephen Rouch",40,"INDY",5265,"160A-R0UCH","M",2020,"N"
3,"Matthew Gilman",44,"OREG",5105,"3705-02BAG","M",2020,"N"
4,"William Kloppe",40,"YCFM",5060,"140G-09DR9","M",2020,"N"
4,"Matt Miller",43,"OREG",5060,"370P-1500F","M",2020,"N"
6,"Johnny Van Velthuyzen",41,"PSM",4740,"360J-06TTA","M",2020,"N"
7,"Will Clark",43,"OREG",4660,"3707-04225","M",2020,"N"
8,"Christopher Scharver",44,"VMST",4605,"1205-001F1","M",2020,"N"
9,"Andrew Peppercorn",43,"NCMS",4585,"130K-PEPPY","M",2020,"N"
10,"John Herzke",41,"CMYM",4575,"330D-CWXHA","M",2020,"N"
11,"Nicholas Mathers",41,"MOST",4560,"430F-01YSY","M",2020,"N"
12,"Andrew Hutchison",42,"1776",4545,"0808-TTNA2","M",2020,"N"
13,"Jonathan Kretz",42,"CVMM",4520,"020N-BDAWG","M",2020,"N"
14,"Michael Leake",42,"NEM",4505,"020S-SAVED","M",2020,"N"
15,"Aaron Jasper",43,"CLMS",4450,"330G-09WY0","M",2020,"N"
16,"Patrick Sullivan",43,"YSTM",4440,"220W-0AVJT","M",2020,"N"
17,"Benjamin Halliday",41,"RIPT",4330,"330S-03CY1","M",2020,"N"
18,"Julien Lerouge",42,"SRVM",4150,"020N-7WRGU","M",2020,"N"
19,"Daniel Spurling",43,"NBPB",4050,"020X-09J0A","M",2020,"N"
20,"Richard Sweetman",42,"NEM",3860,"020J-0AAM2","M",2020,"N"
21,"Eric Tesdahl",41,"NASH",3840,"150F-TG9H2","M",2020,"N"
22,"Patrick Hiller",43,"OREG",3550,"370B-07JW5","M",2020,"N"
23,"Jim Thomas",42,"1776",3515,"080W-0BB7S","M",2020,"N"
24,"Jimmy Wu",44,"NEM",3315,"020J-0ANAD","M",2020,"N"
25,"Andrew Smith",44,"ROCH",3255,"0402-0B3MN","M",2020,"N"
26,"Nishanth Toom",40,"MOST",2725,"4301-3NP0H","M",2020,"N"
27,"Dante Camogliano",42,"CLMS",2575,"330D-PRNRZ","M",2020,"N"
1,"Michael Kiedel",45,"SMM",5360,"3803-03R0C","M",2020,"N"
2,"Kurt Grote",47,"OREG",5340,"370U-082KF","M",2020,"N"
3,"Jeffrey Nason",45,"OREG",5200,"370E-06TUF","M",2020,"N"
4,"Sergei Nemirovsky",48,"NEM",4875,"0204-06MTR","M",2020,"N"
5,"Sean Keenan",46,"SPBA",4725,"140Z-06T8X","M",2020,"N"
6,"Andrew Walberer",48,"IM",4710,"210Y-005XM","M",2020,"N"
7,"Mike Broglio",49,"NEM",4700,"020W-035GH","M",2020,"N"
8,"Phillip Luebke",49,"BOZE",4625,"310A-07P4M","M",2020,"N"
9,"Christian Tujo",49,"OREG",4580,"370Y-026K2","M",2020,"N"
10,"Tim McNamara",46,"CMAM",4530,"380P-07KWF","M",2020,"N"
11,"Michael Guirl",49,"MOST",4485,"430N-02PWZ","M",2020,"N"
12,"Henry Pelish",47,"NEM",4265,"020A-0B8CJ","M",2020,"N"
13,"Alejandro Trevino",46,"MOST",4180,"430J-06SXK","M",2020,"N"
14,"Nick Holland",45,"OREG",4100,"3708-0AB3P","M",2020,"N"
15,"Kenneth Frost",48,"TAM",4025,"380G-03JK9","M",2020,"N"
16,"Rick Osterberg",46,"NEM",4000,"020C-033N8","M",2020,"N"
17,"Ramon Nayar",46,"IM",3950,"210P-NAYAR","M",2020,"N"
18,"Ryan Huddlestun",48,"IM",3860,"210G-0A532","M",2020,"N"
19,"Sean Uiterwyk",46,"NEM",3850,"020A-06H6D","M",2020,"N"
20,"Diego Darquea",48,"SFTL",3835,"500F-093YS","M",2020,"N"
21,"Ryan Rager",46,"SPM",3800,"1408-07PNC","M",2020,"N"
22,"Graham Balch",46,"TAM",3750,"380X-09KFD","M",2020,"N"
23,"Blake Hargis",46,"ADMS",3720,"030R-0B092","M",2020,"N"
