Distance,Stroke,Year,NYS_Cut,AAC_Cut,AA_Cut,Sex
200,MR,2020,01:40.7,01:34.7,01:33.2,M
200,Free,2020,01:47.6,01:40.1,01:38.4,M
200,IM,2020,02:00.6,01:51.6,01:49.6,M
50,Free,2020,22.19,20.91,20.54,M
,11 Dives,2020,,,,M
100,Fly,2020,53.95,49.95,48.92,M
100,Free,2020,48.76,45.73,44.95,M
500,Free,2020,4:52.52,4:33.10,4:28.38,M
200,FR,2020,1:30.12,1:25.86,1:24.80,M
100,Back,2020,54.82,50.37,49.38,M
100,Breast,2020,1:01.20,56.98,55.84,M
400,FR,2020,3:18.87,3:09.26,3:06.28,M
200,MR,2019,01:40.7,01:34.9,01:33.3,M
200,Free,2019,01:47.6,01:40.2,01:38.4,M
200,IM,2019,02:00.6,01:51.8,01:49.8,M
50,Free,2019,22.19,20.96,20.6,M
,11 Dives,2019,,,,M
100,Fly,2019,53.95,50.03,48.96,M
100,Free,2019,48.76,45.78,44.99,M
500,Free,2019,04:52.4,04:33.4,04:28.7,M
200,FR,2019,01:30.1,01:26.0,01:24.9,M
100,Back,2019,54.82,50.64,49.53,M
100,Breast,2019,01:01.2,57.11,55.93,M
400,FR,2019,03:18.9,03:08.9,03:06.2,M
200,MR,2018,01:40.7,01:35.2,01:33.5,M
200,Free,2018,01:47.6,01:40.3,01:38.6,M
200,IM,2018,02:00.6,01:52.0,01:49.8,M
50,Free,2018,22.19,20.97,20.65,M
,11 Dives,2018,,,,M
100,Fly,2018,53.95,50.07,49.06,M
100,Free,2018,48.76,45.8,45.06,M
500,Free,2018,04:52.5,04:33.6,04:29.0,M
200,FR,2018,01:30.1,01:26.2,01:24.9,M
100,Back,2018,54.82,50.86,49.66,M
100,Breast,2018,01:01.2,57.25,56,M
400,FR,2018,03:18.9,03:09.3,03:06.3,
200,MR,2017,01:40.7,01:35.4,01:33.8,
200,Free,2017,01:47.6,01:40.5,01:38.9,M
200,IM,2017,02:00.6,01:52.3,01:50.0,M
50,Free,2017,22.19,21,20.69,M
,11 Dives,2017,,,,M
100,Fly,2017,53.95,50.15,49.23,M
100,Free,2017,48.76,45.86,45.14,M
500,Free,2017,04:52.5,04:34.3,04:29.7,M
200,FR,2017,01:30.1,01:26.3,01:25.0,
100,Back,2017,54.82,50.1,49.74,M
100,Breast,2017,01:01.2,57.39,56.09,M
400,FR,2017,03:18.9,03:09.4,03:06.5,M
200,MR,2016,01:40.7,01:35.7,01:34.1,
200,Free,2016,01:47.6,01:40.7,01:39.1,M
200,IM,2016,02:00.6,01:52.6,01:50.3,M
50,Free,2016,22.19,21.04,20.72,M
,11 Dives,2016,,,,M
100,Fly,2016,53.95,50.27,49.37,M
100,Free,2016,48.76,45.97,45.28,M
500,Free,2016,04:52.5,04:34.6,04:29.6,M
200,FR,2016,01:30.1,01:25.4,01:25.1,
100,Back,2016,54.82,51.13,49.85,M
100,Breast,2016,01:01.2,56.25,57.49,M
400,FR,2016,03:18.9,03:09.7,03:06.6,M
200,MR,2015,01:47.6,01:36.0,01:34.3,M
200,Free,2015,01:47.6,01:41.0,01:39.3,M
200,IM,2015,02:00.6,01:52.9,01:50.7,M
50,Free,2015,22.19,21.09,20.79,M
,11 Dives,2015,,,,M
100,Fly,2015,53.95,50.49,49.51,M
100,Free,2015,48.76,46.08,45.4,M
500,Free,2015,04:52.5,04:35.1,04:30.1,M
200,FR,2015,01:30.1,01:26.6,01:25.2,
100,Back,2015,54.82,51.23,49.95,M
100,Breast,2015,01:01.2,57.64,56.57,M
400,FR,2015,03:18.9,03:10.1,03:07.0,M
200,MR,2014,01:40.7,01:36.2,01:34.5,
200,Free,2014,01:47.6,01:41.1,01:39.4,M
200,IM,2014,02:00.6,01:53.2,01:51.1,M
50,Free,2014,22.19,21.14,20.84,M
,11 Dives,2014,,,,M
100,Fly,2014,53.95,50.61,49.64,M
100,Free,2014,48.76,46.18,45.5,M
500,Free,2014,04:52.5,04:35.3,04:30.2,M
200,FR,2014,01:30.1,01:26.8,01:25.3,
100,Back,2014,54.82,51.38,50.13,M
100,Breast,2014,01:01.2,57.85,56.79,M
400,FR,2014,03:18.9,03:10.5,03:07.4,
200,MR,2013,01:40.7,01:36.6,01:34.9,
200,Free,2013,01:47.6,01:41.3,01:39.6,M
200,IM,2013,02:01.6,01:53.5,01:51.6,M
50,Free,2013,22.27,21.17,20.87,M
,11 Dives,2013,,,,M
100,Fly,2013,53.95,50.74,49.79,M
100,Free,2013,48.94,46.24,45.57,M
500,Free,2013,04:52.5,04:35.7,04:30.8,M
200,FR,2013,01:30.1,01:26.9,01:25.5,
100,Back,2013,54.82,51.56,50.32,M
100,Breast,2013,01:02.3,58.16,57.08,M
400,FR,2013,03:18.9,03:11.0,03:07.9,
200,MR,2012,01:40.7,01:36.7,01:35.1,
200,Free,2012,01:47.6,01:41.1,01:39.5,M
200,IM,2012,02:01.6,01:53.6,01:51.7,M
50,Free,2012,22.29,21.17,20.86,M
,11 Dives,2012,,,,M
100,Fly,2012,54.3,50.73,49.81,M
100,Free,2012,48.94,46.21,45.55,M
500,Free,2012,04:54.6,04:35.6,04:30.8,M
200,FR,2012,01:30.1,01:26.9,01:25.5,
100,Back,2012,55.57,51.66,50.44,M
100,Breast,2012,01:02.3,58.27,57.19,M
400,FR,2012,03:19.6,03:11.0,03:07.9,
,,,,,,
200,Free,2019,01:57.2,01:50.6,01:48.8,F
200,IM,2019,02:12.8,02:03.6,02:01.5,F
50,Free,2019,24.84,23.54,23.2,F
,11 Dives,2019,,,,F
100,Fly,2019,01:00.0,55.49,54.42,F
100,Free,2019,54.36,51.05,50.19,F
500,Free,2019,05:14.7,04:56.8,04:52.2,F
100,Back,2019,01:00.4,55.92,54.8,F
