YEAR,"YEAR-ROUNDATHLETE","INC/DEC","SEA-SONALATH-LETE",INC/DEC,"SINGLEMEET OPENWATERATHLETE",INC/DEC,"YEAR-ROUNDCLUB/ORG.","INC/DEC","SEA-SONALCLUB",INC/DEC,"NON-ATHLETE",INC/DEC,"TOTAL IN-DIVIDUALMEMBERS","INC/DEC"
2018,"346,735",-2.20%,"24,759",-1.70%,193,-59.00%,"3,034",0.10%,118,-7.80%,"39,637",1.20%,"411,324",-1.90%
2017*,"354,627",5.54%,"25,175",5.52%,471,44.48%,"3,030",0.63%,128,-0.78%,"39,154",2.03%,"419,427",5.2%
2016,"336,026",-0.30%,"23,858",-5.80%,326,-8.40%,"3,011",1.20%,129,-9.80%,"38,375",2.60%,"398,585",-0.4%
2015,"337,084",-0.80%,"25,326",-8.50%,356,12.70%,"2,975",0.20%,143,13.50%,"37,399",2.40%,"400,165",-1.1%
2014,"339,903",-0.20%,"27,683",-6.30%,316,-6.20%,"2,970",1.90%,126,0%,"36,521",5.90%,"404,423",-0.1%
2013*,"340,568",13.20%,"29,555",-1.70%,337,127.70%,"2,915",1.10%,126,0.80%,"34,480",7.70%,"404,940",11.5%
2012,"300,884",3.30%,"30,074",-0.20%,148,-12.90%,"2,884",2.80%,125,4.20%,"32,013",2.80%,"363,119",3.0%
2011,"291,182",1.50%,"30,133",-8.80%,170,-60.50%,"2,805",2.00%,120,5.30%,"31,154",2.00%,"352,639",0.5%
2010,"286,900",0.30%,"33,027",-5.30%,430,68.00%,"2,750",2.60%,114,4.60%,"30,554",3.40%,"350,911",0.0%
2009*,"286,147",11.30%,"34,866",3.50%,256,41.40%,"2,681",-0.70%,109,-10.70%,"29,557",3.90%,"350,826",9.8%
2008,"257,180",2.20%,"33,672",-4.80%,181,-8.10%,"2,701",0.30%,122,1.60%,"28,447",-0.90%,"319,480",1.2%
2007,"251,547",0.90%,"35,388",0.40%,197,109.60%,"2,692",-0.70%,120,26.30%,"28,695",1.00%,"315,827",0.9%
2006,"249,326",0.10%,"35,253",-2.70%,94,32.40%,"2,712",-0.40%,95,-11.20%,"28,416",2.00%,"313,089",-0.1%
2005*,"249,182",7.30%,"36,249",-2.00%,71,,"2,724",-0.40%,107,-6.10%,"27,847",2.00%,"313,349",5.6%
2004,"232,361",-1.10%,"36,970",-0.60%,0,,"2,736",-3.50%,114,7.50%,"27,314",-1.20%,"296,645",-1.1%
2003,"235,013",3.00%,"37,176",-2.10%,0,,"2,834",4.00%,106,-9.40%,"27,652",5.10%,"299,841",2.5%
2002,"228,216",-1.70%,"37,978",0.70%,0,,"2,724",-2.10%,117,2.60%,"26,322",0.70%,"292,516",-1.2%
2001*,"232,253",4.90%,"37,715",-3.80%,0,,"2,783",1.00%,114,-3.40%,"26,151",1.60%,"296,119",3.4%
2000,"221,352",1.90%,"39,223",5.30%,0,,"2,755",0.10%,118,-5.60%,"25,732",-0.50%,"286,307",2.1%
1999,"217,325",1.50%,"37,237",-8.10%,0,,"2,753",0.40%,125,-3.10%,"25,852",-2.20%,"280,414",-0.3%
1998,"214,206",1.20%,"40,518",2.50%,0,,"2,765",2.70%,129,12.20%,"26,426",1.70%,"281,150",1.4%
1997*,"211,728",8.10%,"39,525",-1.90%,0,,"2,692",2.80%,115,-18.40%,"25,973",4.80%,"277,226",6.2%
1996,"195,853",2.10%,"40,300",16.10%,0,,"2,618",0.20%,141,11.00%,"24,788",0.20%,"260,941",3.8%
1995,"191,855",0.70%,"34,703",-4.30%,0,,"2,612",2.20%,127,42.60%,"24,740",2.60%,"251,298",0.1%
1994,"190,559",1.00%,"36,251",5.80%,0,,"2,556",-0.60%,89,,"24,124",-0.20%,"250,934",1.6%
1993*,"188,647",10.10%,"34,262",2.90%,0,,"2,571",4.80%,0,,"24,167",11.20%,"247,076",9.1%
1992,"171,346",3.50%,"33,309",28.80%,0,,"2,453",0.70%,0,,"21,726",3.30%,"226,381",6.5%
1991,"165,622",2.30%,"25,867",9.70%,0,,"2,435",2.40%,0,,"21,040",5.80%,"212,529",3.5%
1990,"161,885",2.00%,"23,579",13.50%,0,,"2,379",-2.00%,0,,"19,885",-0.70%,"205,349",2.9%
1989*,"158,681",3.80%,"20,768",14.90%,0,,"2,428",0.20%,0,,"20,020",2.70%,"199,469",4.7%
1988,"152,937",-3.80%,"18,077",30.00%,0,,"2,422",-2.60%,0,,"19,468",2.60%,"190,482",-0.7%
1987,"159,039",-6.30%,"13,905",,0,,"2,487",-4.00%,0,,"18,972",11.00%,"191,916",2.8%
CENTRAL,AR,IA,IL,IN,LE,MI,MN,MV,MW,ND,OH,OK,OZ,SD,WI,,,
EASTERN,AD,AM,CT,MA,MD,ME,MR,NE,NI,NJ,PV,VA,,,,,,
WESTERN,AK,AZ,CA,CC,CO,HI,IE,MT,NM,OR,PC,PN,SI,SN,SR,US,UT,WY
LSC,,LSC,,,
"",,,2017,2018,
"",,,,,INC./
CODE,,NAME,,,DEC.
AD,ADIRONDACK,,"2,257","2,268",11
AK,ALASKA,,"2,157","2,184",27
AM,ALLEGHENY MOUNTAIN,,"3,894","3,948",54
AR,ARKANSAS,,"1,824","1,663",-161
AZ,ARIZONA,,"5,680","5,501",-179
BD,BORDER,,895,915,20
CA,SOUTHERN CALIFORNIA,,"23,082","22,680",-402
CC,CENTRAL CALIFORNIA,,"1,930","1,788",-142
CO,COLORADO,,"7,666","7,443",-223
CT,CONNECTICUT,,"6,003","6,066",63
FG,FLORIDA GOLD COAST,,"5,650","5,077",-573
FL,FLORIDA,,"11,581","11,150",-431
GA,GEORGIA,,"8,163","8,007",-156
GU,GULF,,"10,158","10,013",-145
HI,HAWAIIAN,,"3,239","3,028",-211
IA,IOWA,,"3,032","3,065",33
IE,INLAND EMPIRE,,"1,477","1,407",-70
IL,ILLINOIS,,"21,774","22,271",497
IN,INDIANA,,"11,602","11,239",-363
KY,KENTUCKY,,"2,766","2,615",-151
LA,LOUISIANA,,"2,986","2,852",-134
LE,LAKE ERIE,,"4,095","3,789",-306
MA,MIDDLE ATLANTIC,,"11,542","11,791",249
MD,MARYLAND,,"5,577","5,531",-46
ME,MAINE,,"1,140","1,119",-21
MI,MICHIGAN,,"9,715","9,406",-309
MN,MINNESOTA,,"8,906","8,259",-647
MR,METROPOLITAN,,"11,553","10,644",-909
MS,MISSISSIPPI,,"1,567","1,390",-177
MT,MONTANA,,"1,158","1,083",-75
MV,MISSOURI VALLEY,,"5,366","4,917",-449
LSC,,LSC,,,
"",,,2017,2018,
"",,,,,INC./
CODE,,NAME,,,DEC.
MW,MIDWESTERN,,"2,932","2,790",-142
NC,NORTH CAROLINA,,"9,984","10,323",339
ND,NORTH DAKOTA,,"1,367","1,345",-22
NE,NEW ENGLAND,,"9,847","9,604",-243
NI,NIAGARA,,"5,907","5,580",-327
NJ,NEW JERSEY,,"9,950","9,894",-56
NM,NEW MEXICO,,"2,267","2,034",-233
NT,NORTH TEXAS,,"7,252","7,364",112
OH,OHIO,,"6,686","6,526",-160
OK,OKLAHOMA,,"1,982","1,920",-62
OR,OREGON,,"6,272","6,104",-168
OZ,OZARK,,"3,289","3,367",78
PC,PACIFIC,,"16,893","16,650",-243
PN,PACIFIC NORTHWEST,,"6,881","7,004",123
PV,POTOMAC VALLEY,,"12,557","12,363",-194
SC,SOUTH CAROLINA,,"3,314","3,219",-95
SD,SOUTH DAKOTA,,"1,266","1,332",66
SE,SOUTHEASTERN,,"8,238","7,969",-269
SI,SAN DIEGO-IMPERIAL,,"4,006","3,895",-111
SN,SIERRA NEVADA,,"3,612","3,530",-82
SR,SNAKE RIVER,,"1,371","1,221",-150
ST,SOUTH TEXAS,,"8,818","8,484",-334
US,USA SWIMMING,,41,19,-22
UT,UTAH,,"3,950","3,898",-52
VA,VIRGINIA,,"6,656","6,833",177
WI,WISCONSIN,,"7,310","7,048",-262
WT,WEST TEXAS,,963,948,-15
WV,WEST VIRGINIA,,695,622,-73
WY,WYOMING,,"1,886","1,740",-146
"",,,,% OF,,,,% OF,,% OF
AGE,NEW,RENEW,TOTAL,TOTAL,NEW,RENEW,TOTAL,TOTAL,GRAND,TOTAL
"",FEMALE,FEMALE,FEMALE,ATH,MALE,MALE,MALE,ATH,TOTAL,ATH
8 & UNDER,"10,691","4,958","15,649",4.5%,"8,811","4,031","12,842",3.7%,"28,491",8.2%
9,"7,398","7,463","14,861",4.3%,"5,909","6,003","11,912",3.4%,"26,773",7.7%
10,"7,746","11,807","19,553",5.6%,"6,311","9,226","15,537",4.5%,"35,090",10.1%
11,"7,331","15,494","22,825",6.6%,"5,904","11,878","17,782",5.1%,"40,607",11.7%
12,"5,869","17,706","23,575",6.8%,"4,777","12,954","17,731",5.1%,"41,306",11.9%
13,"4,224","18,149","22,373",6.5%,"3,575","13,144","16,719",4.8%,"39,092",11.3%
14,"2,978","18,070","21,048",6.1%,"2,776","13,341","16,117",4.6%,"37,165",10.7%
15,"1,815","14,763","16,578",4.8%,"1,907","11,458","13,365",3.9%,"29,943",8.6%
16,"1,050","11,845","12,895",3.7%,"1,239","9,588","10,827",3.1%,"23,722",6.8%
17,656,"9,403","10,059",2.9%,843,"8,199","9,042",2.6%,"19,101",5.5%
18,278,"6,687","6,965",2.0%,460,"6,847","7,307",2.1%,"14,272",4.1%
19 & OVER,265,"4,889","5,154",1.5%,365,"5,654","6,019",1.7%,"11,173",3.2%
TOTAL,"50,301","141,234","191,535",55.2%,"42,877","112,323","155,200",44.8%,"346,735",
"","% OF MALE ATH.RETAINED","% OF TOTAL ATH.RETAINED",
8 & UNDER,2.6%,2.6%,2.6%
9,3.9%,3.9%,3.9%
10,6.2%,5.9%,6.1%
11,8.1%,7.7%,7.9%
