Age_Group,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987
18-24,3360,4386,3664,3475,3380,3291,3275,3029,3142,3135,2831,2484,2449,2554,2497,2556,2557,2406,2310,2205,2061,1879,1790,1657,1650,1739,1666,1841,1626,1831,1976,2149
25-29,4074,4851,5086,4718,4693,4575,4608,4661,4819,5146,4573,3945,4002,4118,4179,4356,4479,4431,4214,4158,3975,3915,3761,3530,3644,3735,3960,4493,4531,5109,5395,5512
30-34,4071,5007,5259,5274,5452,5416,5525,5418,5582,5673,4976,4477,4564,4744,4997,5421,5639,5664,5404,5186,5095,5056,4897,4810,5129,5049,5128,5552,5479,5805,5808,5611
35-39,4845,5902,6063,5998,5944,5821,6062,5918,6049,6423,6099,5775,5968,5908,5891,6073,6185,6211,6164,6213,6081,5927,5588,5234,5146,4910,4864,4985,4673,4773,4656,4338
40-44,5794,6723,6923,7094,7519,7649,7858,7778,7749,7525,7215,6956,7148,7082,7161,7077,7073,6815,6367,6084,5923,5567,5212,4811,4420,4031,3930,3993,3644,3709,3495,3310
45-49,6938,8120,8445,8442,8280,7914,8277,8215,8305,8343,7775,7366,7216,6733,6501,6247,5967,5553,5294,4919,4416,4112,3885,3468,3118,2867,2687,2643,2308,2262,2112,1938
50-54,7546,8641,8961,9081,9087,8463,8322,7862,7360,6838,6368,5943,5603,5189,4850,4478,4233,3909,3645,3415,3102,2874,2571,2156,1976,1719,1591,1499,1417,1450,1402,1281
55-59,7376,7876,8210,7685,7150,6546,6189,5678,5067,4778,4233,3813,3737,3300,3128,2794,2624,2343,2126,1930,1791,1593,1377,1211,1153,1106,1078,1048,980,1018,1003,1000
60-64,5656,5746,6018,5462,5019,4319,3889,3517,3165,2840,2587,2338,2157,1914,1770,1702,1508,1373,1227,1196,1109,1084,1019,969,955,893,861,885,840,794,808,760
65-69,3513,3497,3664,3307,2897,2493,2279,1977,1760,1564,1433,1330,1175,1082,1028,965,922,931,929,950,924,883,872,803,766,734,693,689,684,690,639,606
70-74,1973,1845,1951,1688,1524,1362,1223,1012,890,792,813,766,765,720,749,752,741,744,717,694,676,687,650,608,574,526,506,517,442,439,433,414
75-79,927,814,851,768,680,607,583,543,541,591,545,517,526,477,476,482,473,449,470,461,452,399,389,342,329,304,298,299,252,242,223,200
80-84,383,377,413,402,400,381,358,359,324,294,285,299,291,297,292,277,243,233,218,215,230,245,232,176,158,125,121,97,95,83,69,65
85-89,164,169,207,189,176,158,143,128,126,134,145,135,126,95,106,100,120,115,109,109,90,85,63,50,36,33,29,30,27,23,22,19
90-94,42,42,53,57,53,54,53,48,47,39,40,47,42,38,42,42,34,30,22,24,23,14,13,11,8,10,6,6,5,6,4,5
95-99,9,10,15,8,13,13,10,12,8,9,9,8,11,8,6,5,4,2,3,5,4,3,0,1,0,1,1,2,1,1,0,1
100-104,0,2,4,0,1,2,2,1,1,0,0,0,0,0,1,0,2,2,0,1,0,0,1,1,3,2,0,1,0,0,0,0
105+,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
